name,website,description,country,healthcare_type,status,status_code,source,validated_date
Error - Could not access,https://cigahealthcare.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:17
Error - Could not access,https://circlehealth.co.uk,Error: HTTP HTTP Error 403: Forbidden,United Kingdom,Healthcare Services,Error,HTTP HTTP Error 403: Forbidden,Discovered,2025-07-21 11:11:19
Error - Could not access,https://circlehealth.com,Error: HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Discovered,2025-07-21 11:11:26
Error - Could not access,https://circlehealth.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:27
Kognitives Training für Menschen mit MCI und leichter Demenz,https://cogthera.de/#erfahren,"Cogthera GmbH, App-basiertes kognitives Training für Menschen mit MCI und leichter Demenz, multimodale Intervention zur kognitiven Förderung",Germany,AI/ML Healthcare,Active,200,Manual,2025-07-21 11:11:30
Error - Could not access,https://crookeshealthcare.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:31
Error - Could not access,https://crookeshealthcare.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:32
Error - Could not access,https://crookeshealthcare.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:33
Unknown Company,https://curecurve.de/elina-app,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:11:35
Unknown Company,https://de.becureglobal.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:11:41
Error - Could not access,https://de.caona.eu,Error: HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Europe,Healthcare Services,Error,HTTP <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1029)>,Discovered,2025-07-21 11:11:42
Unknown Company,https://deepeye.ai,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:11:44
Error - Could not access,https://deltexmedicalgroup.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:45
Error - Could not access,https://deltexmedicalgroup.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:46
Error - Could not access,https://deltexmedicalgroup.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:47
Unknown Company,https://denton-systems.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:11:49
Error - Could not access,https://diamydmedical.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:50
Error - Could not access,https://diamydmedical.se,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Sweden,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:51
Error - Could not access,https://drugsingermany.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:52
Error - Could not access,https://drugsingermany.de,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Germany,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:53
Error - Could not access,https://drugsinsweden.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:54
Error - Could not access,https://drugsinsweden.se,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Sweden,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:55
Error - Could not access,https://drugsinswitzerland.ch,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Switzerland,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:56
Error - Could not access,https://drugsinswitzerland.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:11:57
Unknown Company,https://ekfdiagnostics.co.uk,No description available,United Kingdom,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:11:58
Unknown Company,https://ekfdiagnostics.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:00
Error - Could not access,https://ekfdiagnostics.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:01
Error - Could not access,https://eleusispharmaceuticalcompany.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:02
Error - Could not access,https://eleusispharmaceuticalcompany.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:03
Error - Could not access,https://eleusispharmaceuticalcompany.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:04
Unknown Company,https://elixionmedical.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:05
Unknown Company,https://eye2you.ai,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:07
Error - Could not access,https://ferringpharmaceuticals.ch,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Switzerland,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:08
Error - Could not access,https://ferringpharmaceuticals.com,Error: HTTP <urlopen error [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1029)>,Europe,Biotechnology,Error,HTTP <urlopen error [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1029)>,Discovered,2025-07-21 11:12:09
Error - Could not access,https://fourseasonshealthcare.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:10
Unknown Company,https://fourseasonshealthcare.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:14
Error - Could not access,https://fourseasonshealthcare.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:15
Unknown Company,https://freseniusmedicalcare.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:16
Unknown Company,https://freseniusmedicalcare.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:18
Unknown Company,https://fyzo.de/assistant,No description available,Germany,Healthcare Services,Active,200,Discovered,2025-07-21 11:12:19
Error - Could not access,https://generalhealthcaregroup.co.uk,Error: HTTP <urlopen error timed out>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error timed out>,Discovered,2025-07-21 11:12:35
Unknown Company,https://generalhealthcaregroup.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:37
Error - Could not access,https://generalhealthcaregroup.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:38
Error - Could not access,https://gentechpharmaceutical.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:39
Error - Could not access,https://gentechpharmaceutical.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:40
Error - Could not access,https://gentechpharmaceutical.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:41
Unknown Company,https://gleea.de,No description available,Germany,Healthcare Services,Active,200,Discovered,2025-07-21 11:12:42
Unknown Company,https://gpcbiotech.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:12:43
Error - Could not access,https://gpcbiotech.de,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Germany,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:44
Error - Could not access,https://gwpharmaceuticals.co.uk,Error: HTTP <urlopen error [Errno -5] No address associated with hostname>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -5] No address associated with hostname>,Discovered,2025-07-21 11:12:45
Error - Could not access,https://gwpharmaceuticals.com,Error: HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Discovered,2025-07-21 11:12:52
Error - Could not access,https://gwpharmaceuticals.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:53
Error - Could not access,https://healthcarecompaniesbycountry.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:54
Error - Could not access,https://healthcarecompaniesbycountry.de,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Germany,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:55
Error - Could not access,https://healthcarecompaniesofengland.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:56
Error - Could not access,https://healthcarecompaniesofengland.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:57
Error - Could not access,https://healthcarecompaniesofengland.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:58
Error - Could not access,https://healthcarecompaniesoffrance.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:12:59
Error - Could not access,https://healthcarecompaniesoffrance.fr,Error: HTTP <urlopen error [Errno -2] Name or service not known>,France,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:00
Error - Could not access,https://healthcarecompaniesofgermany.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:01
Error - Could not access,https://healthcarecompaniesofgermany.de,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Germany,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:02
Error - Could not access,https://healthcarecompaniesofscotland.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:03
Error - Could not access,https://healthcarecompaniesofscotland.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:04
Error - Could not access,https://healthcarecompaniesofscotland.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:05
Error - Could not access,https://healthcarecompaniesofsweden.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:06
Error - Could not access,https://healthcarecompaniesofsweden.se,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Sweden,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:07
Error - Could not access,https://healthcarecompaniesofswitzerland.ch,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Switzerland,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:08
Error - Could not access,https://healthcarecompaniesofswitzerland.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:09
Error - Could not access,https://healthcarecompaniesofthenetherlands.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:10
Error - Could not access,https://healthcarecompaniesofthenetherlands.nl,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Netherlands,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:11
Error - Could not access,https://healthcarecompaniesoftheunitedkingdom.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:12
Error - Could not access,https://healthcarecompaniesoftheunitedkingdom.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:13
Error - Could not access,https://healthcarecompaniesoftheunitedkingdom.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:14
Error - Could not access,https://healthclubsintheunitedkingdom.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:15
Error - Could not access,https://healthclubsintheunitedkingdom.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:16
Error - Could not access,https://healthclubsintheunitedkingdom.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:17
Unknown Company,https://healthera.co.uk,No description available,United Kingdom,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:13:19
Error - Could not access,https://healthera.com,Error: HTTP HTTP Error 404: Not Found,Europe,Healthcare Services,Error,HTTP HTTP Error 404: Not Found,Discovered,2025-07-21 11:13:20
Unknown Company,https://healthera.uk,No description available,United Kingdom,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:13:24
Error - Could not access,https://healthnavigator.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:25
Error - Could not access,https://healthnavigator.com,Error: HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -3] Temporary failure in name resolution>,Discovered,2025-07-21 11:13:27
Error - Could not access,https://healthnavigator.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:13:28
Health_Valley,https://healthvalley.ch,A story told with Adobe Express,Switzerland,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:13:29
Unknown Company,https://healthvalley.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:13:31
Error - Could not access,https://hikmapharmaceuticals.co.uk,Error: HTTP <urlopen error [Errno -5] No address associated with hostname>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -5] No address associated with hostname>,Discovered,2025-07-21 11:13:32
Error - Could not access,https://hikmapharmaceuticals.com,Error: HTTP <urlopen error timed out>,Europe,Biotechnology,Error,HTTP <urlopen error timed out>,Discovered,2025-07-21 11:13:48
Error - Could not access,https://hikmapharmaceuticals.uk,Error: HTTP <urlopen error timed out>,United Kingdom,Biotechnology,Error,HTTP <urlopen error timed out>,Discovered,2025-07-21 11:14:19
Unknown Company,https://home.informme.info,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:14:20
Unknown Company,https://incontalert.de,No description available,Germany,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:14:21
Unknown Company,https://kingsbridgehealthcaregroup.co.uk,No description available,United Kingdom,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:14:23
KHG - KINGS BRIDGE,https://kingsbridgehealthcaregroup.com,"A medical company of trusted healthcare professionals, clinics, hospitals and medical facilities providing diagnosis, education and treatment",Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:14:24
Error - Could not access,https://kingsbridgehealthcaregroup.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:25
Unknown Company,https://knollpharmaceuticals.com,No description available,Europe,AI/ML Healthcare,Active,200,Discovered,2025-07-21 11:14:27
Error - Could not access,https://knollpharmaceuticals.de,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Germany,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:28
Error - Could not access,https://listofpharmaceuticalmanufacturersintheunitedkingdom.co.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:29
Error - Could not access,https://listofpharmaceuticalmanufacturersintheunitedkingdom.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:30
Error - Could not access,https://listofpharmaceuticalmanufacturersintheunitedkingdom.uk,Error: HTTP <urlopen error [Errno -2] Name or service not known>,United Kingdom,Biotechnology,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:31
Error - Could not access,https://manteiapredictivemedicine.ch,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Switzerland,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:32
Error - Could not access,https://manteiapredictivemedicine.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:33
Error - Could not access,https://medicalandhealthorganisationsbasedingermany.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,2025-07-21 11:14:34
