name,website,description,location,source_url,discovery_method,domain
Advertise,https://go.microsoft.com/fwlink/?linkid=868922,Advertise,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,go.microsoft.com
About our ads,http://go.microsoft.com/fwlink/?LinkID=286759,About our ads,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,go.microsoft.com
Microsoft Bing help - Microsoft Support,https://support.microsoft.com/topic/82d20721-2d6f-4012-a13d-d1910ccf203f,Help,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,support.microsoft.com
Your Privacy Choices,https://go.microsoft.com/fwlink/?linkid=2214802,Your Privacy Choices,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,go.microsoft.com
Consumer Health Privacy,https://go.microsoft.com/fwlink/?linkid=2259814,Consumer Health Privacy,,https://www.bing.com/search?q=German%20healthcare%20companies,Search: German healthcare companies,go.microsoft.com
How Bing delivers search results - Microsoft Support,https://support.microsoft.com/topic/how-bing-delivers-search-results-d18fc815-ac37-4723-bc67-9229ce3eb6a3,"This summary was generated by AI from multiple online sources. Find the source links used for this summary under ""Based on sources"".Learn more about Bing search resultshere","(Germany) as, in their good faith judgment, hostin",https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,support.microsoft.com
Here are somedigital health startups in Germany:,https://www.spinlab.co/blog/10-promising-ehealth-startups-from-germany,Here are somedigital health startups in Germany:www.spinlab.co+1,10 promising E-health Startups from Germany,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,www.spinlab.co
Medical Startupshttps://www.medicalstartups.org › country › Germany,https://www.medicalstartups.org/country/Germany/,Medical Startupshttps://www.medicalstartups.org › country › Germany,Top 82 medical and healthcare startups in Germany ,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,www.medicalstartups.org
F6Shttps://www.f6s.com › companies › digital-health › germany › co,https://www.f6s.com/companies/digital-health/germany/co,F6Shttps://www.f6s.com › companies › digital-health › germany › co,,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,www.f6s.com
ottonovahttps://www.ottonova.de › ... › digital-health …Translate this result,https://www.ottonova.de/digital/digital-health-startups,ottonovahttps://www.ottonova.de › ... › digital-health …Translate this result,"{""@context"":""http://schema.org"",""@type"":""Article"",",https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,www.ottonova.de
eustartup.newshttps://eustartup.news,https://eustartup.news/15-innovative-health-care-startups-in-germany-driving-change-in-the-industry/,eustartup.newshttps://eustartup.news,15 Innovative Health Care Startups in Germany: Dri,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,eustartup.news
healthtechalpha.comhttps://www.healthtechalpha.com › country › digital...,https://www.healthtechalpha.com/country/digital-health-startups-in-germany,healthtechalpha.comhttps://www.healthtechalpha.com › country › digital...,,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,www.healthtechalpha.com
inovex GmbHhttps://www.inovex.de › de › blog › ehealth …Translate this result,https://www.inovex.de/de/blog/ehealth-unternehmen/,inovex GmbHhttps://www.inovex.de › de › blog › ehealth …Translate this result,Das deutsche Start-up Patientus ist ein Telemedizi,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,www.inovex.de
startuprise.co.ukhttps://startuprise.co.uk,https://startuprise.co.uk/top-10-healthtech-startups-in-germany/,startuprise.co.ukhttps://startuprise.co.uk,Top 12 HealthTech Startups in Germany,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,startuprise.co.uk
germanyy.aihttps://www.germanyy.ai › category › digital health,https://www.germanyy.ai/category/digital%20health,germanyy.aihttps://www.germanyy.ai › category › digital health,digital health AI Startups in Germany | AI Ecosyst,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,www.germanyy.ai
Some results have been removed,http://go.microsoft.com/fwlink/?LinkID=617350,Some results have been removed,,https://www.bing.com/search?q=digital%20health%20startups%20Germany,Search: digital health startups Germany,go.microsoft.com
NS Medical Deviceshttps://www.nsmedicaldevices.com › analysis,https://www.nsmedicaldevices.com/analysis/european-medical-device-companies-2020/,NS Medical Deviceshttps://www.nsmedicaldevices.com › analysis,"/* <![CDATA[ */
var crbTracker = {""permutive"":{""wo",https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,www.nsmedicaldevices.com
BoldDatahttps://bolddata.nl › en › companies › europe › medical...,https://bolddata.nl/en/companies/europe/medical-device-companies-europe/,BoldDatahttps://bolddata.nl › en › companies › europe › medical...,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,bolddata.nl
Healthcare Digitalhttps://healthcare-digital.com › medical-devices-and-pharma,https://healthcare-digital.com/medical-devices-and-pharma/top-10-european-healthcare-companies,Healthcare Digitalhttps://healthcare-digital.com › medical-devices-and-pharma,"Based in Leverkusen, Germany, global life-sciences",https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,healthcare-digital.com
CrunchBasehttps://www.crunchbase.com › hub › europe-medical-device-companies,https://www.crunchbase.com/hub/europe-medical-device-companies,CrunchBasehttps://www.crunchbase.com › hub › europe-medical-device-companies,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,www.crunchbase.com
· 2d· on MSNChina retaliates against EU ban with import restrictions on medical devices,https://www.msn.com/en-us/news/world/china-retaliates-against-eu-ban-with-import-restrictions-on-medical-devices/ar-AA1I7S1m?ocid=BingNewsSerp,· 2d· on MSNChina retaliates against EU ban with import restrictions on medical devices,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,www.msn.com
· 3d· on MSNChina Retaliates Against EU on Medical-Device Procurement,https://www.msn.com/en-us/money/markets/china-retaliates-against-eu-on-medical-device-procurement/ar-AA1I3uL0?ocid=BingNewsSerp,· 3d· on MSNChina Retaliates Against EU on Medical-Device Procurement,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,www.msn.com
einimed.euhttps://einimed.eu,https://einimed.eu/top-eu-med-tech-brands-and-manufacturers-leading-innovations-in-2024/,einimed.euhttps://einimed.eu,We specializes in the distribution of high-quality,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,einimed.eu
medicogrp.comhttps://medicogrp.com › largest-medical-device-companies,https://medicogrp.com/largest-medical-device-companies/,medicogrp.comhttps://medicogrp.com › largest-medical-device-companies,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,medicogrp.com
medicaltechoutlook.comhttps://medical-device-manufacturing-europe.medicaltec…,https://medical-device-manufacturing-europe.medicaltechoutlook.com/vendors/top-medical-device-manufacturing-companies-in-europe-rid-136.html,medicaltechoutlook.comhttps://medical-device-manufacturing-europe.medicaltec…,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,medical-device-manufacturing-europe.medicaltechoutlook.com
medicaltechoutlook.comhttps://medical-equipment-manufacturing-europe.medicaltechoutlook.c…,https://medical-equipment-manufacturing-europe.medicaltechoutlook.com/vendors/top-equipment-manufacturer-companies-europe-rid-82.html,medicaltechoutlook.comhttps://medical-equipment-manufacturing-europe.medicaltechoutlook.c…,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,medical-equipment-manufacturing-europe.medicaltechoutlook.com
medicaltechoutlook.comhttps://medtech-europe.medicaltechoutlook.com › ...,https://medtech-europe.medicaltechoutlook.com/vendors/top-medtech-companies-in-europe-2022-rid-268.html,medicaltechoutlook.comhttps://medtech-europe.medicaltechoutlook.com › ...,,https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,medtech-europe.medicaltechoutlook.com
GlobalDatahttps://www.globaldata.com › companies › top-companies...,https://www.globaldata.com/companies/top-companies-by-sector/healthcare/europe-companies-by-marketed-products/,GlobalDatahttps://www.globaldata.com › companies › top-companies...,"Medtronic Plc, Siemens Healthineers AG, Smith & Ne",https://www.bing.com/search?q=medical%20device%20companies%20Europe,Search: medical device companies Europe,www.globaldata.com
