url,company_name,products,location,has_company_name,has_products,has_location
https://www.apheris.com,apheris AI GmbH,Apheris Compute Gateway,,Yes,Yes,No
https://visioncheckout.com/,auvisus GmbH,Vision Checkout,,Yes,Yes,No
https://www.biotx.ai/,biotx.ai GmbH,BioTX Platform,,Yes,Yes,No
https://www.brainjo.de/,brainjo GmbH,Brainjo App,Regensburg,Yes,Yes,Yes
https://www.comuny.de/,comuny GmbH,Comuny App,,Yes,Yes,No
https://www.contextflow.com,contextflow – See beyond a single case,,,Yes,No,No
https://deepeye.ai/,deepeye medical GmbH,DeepEye Platform,,Yes,Yes,No
https://www.deepmentation.ai/,deepmentation UG,Deepmentation AI,,Yes,Yes,No
https://www.derma2go.com/,derma2go Deutschland GmbH,derma2go App,,Yes,Yes,No
https://www.dianovi.com/,dianovi GmbH (ehem. MySympto),Dianovi App,,Yes,Yes,No
https://www.dpv-analytics.com/,dpv-analytics GmbH,DPV Analytics Platform,"Hamburg
Rufen Sie Uns An",Yes,Yes,Yes
http://www.ecovery.de/,eCovery GmbH,eCovery App,,Yes,Yes,No
https://eye2you.ai/,eye2you,eye2you AI,,Yes,Yes,No
https://www.felmo.de,felmo,,Berlin,Yes,No,Yes
https://fyzo.de/assistant/,fyzo GmbH,fyzo Assistant; fyzo coach,,Yes,Yes,No
https://www.gesund.de/app,gesund.de GmbH & Co. KG,gesund.de App,,Yes,Yes,No
https://www.heartkinetics.com,heartkinetics.com,,,Yes,No,No
https://www.heynanny.com/,heynannyly GmbH,heynannyly App,,Yes,Yes,No
https://www.babylon.com,,,,No,No,No
https://www.doctolib.de,,,,No,No,No
https://www.doctolib.fr,,,,No,No,No
https://www.kaia-health.com,,,,No,No,No
https://www.medigene.com,,,,No,No,No
https://www.sonormed.de,,,,No,No,No
https://www.viomedo.de,,,,No,No,No
https://www.xim.ai,,,,No,No,No
https://www.zava.com,,,,No,No,No
https://www.zavamed.com,,,,No,No,No
https://incontalert.de/,inContAlert GmbH,inContAlert,,Yes,Yes,No
https://www.mediteo.com,mediteo,,Heidelberg,Yes,No,Yes
https://www.neosfer.de,neosfer,,,Yes,No,No
https://www.samedi.de,samedi,,,Yes,No,No
