name,website,description,products_services,country,healthcare_type,status,status_code,source,extraction_method,raw_title,validated_date,state,city,location_summary,location_method,exact_products,precise_city,precise_state,precise_country,location_extraction_method
Fyzo,https://fyzo.de/assistant,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:20,,,Germany,url_analysis,Fyzo (Product details not available),,,Germany,url_analysis
Gleea,https://gleea.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:21,,,Germany,url_analysis,Gleea (Product details not available),,,Germany,url_analysis
Unknown Company,https://home.informme.info,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Fallback,,2025-07-21 12:55:22,,,Germany,combined_analysis,Unknown Company (Product details not available),,,Europe,url_analysis
Incontalert,https://incontalert.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:24,,,Germany,url_analysis,S vmh ai,,,Germany,url_analysis
Getnutrio,https://shop.getnutrio.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:28,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,"PN6aI, 0d ai",,,Europe,url_analysis
Visioncheckout,https://visioncheckout.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:30,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,ʲ9-daI,,,Europe,url_analysis
Acalta,https://www.acalta.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:31,,,Germany,url_analysis,Acalta (Product details not available),,,Germany,url_analysis
Actimi,https://www.actimi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:32,,Stuttgart,"Stuttgart, Germany",combined_analysis,"WebBmaI, eޙT2 RQTAI",,,Europe,url_analysis
Alfa-ai,https://www.alfa-ai.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:34,,,Location not determined,combined_analysis,"Bd5aI, M1zmAi",,,Europe,url_analysis
Apheris,https://www.apheris.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:35,,,Location not determined,combined_analysis,Apheris (Product details not available),,,Europe,url_analysis
Apodienste,https://www.apodienste.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:36,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,"K jai, yf ai, evIaI",,,Europe,url_analysis
Aporize,https://www.aporize.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,Page title,Aporize,2025-07-21 12:55:38,,,Germany,combined_analysis,"Innovative Lösungen für eine bessere medizinische Versorgung, Ihr Dienstleistungsoptimierer, Entwicklungen",,,Europe,url_analysis
Arztlena,https://www.arztlena.com,Error: HTTP <urlopen error [Errno -2] Name or service not known>,Healthcare products and services,Europe,Healthcare Services,Error,HTTP <urlopen error [Errno -2] Name or service not known>,Discovered,URL domain (error),,2025-07-21 12:55:39,,,Location not determined,combined_analysis,Arztlena (Product details not available),,,Europe,url_analysis
Avayl,https://www.avayl.tech,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:41,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,"0lVoaI, jYJAi, 9dޒaI",,,Europe,url_analysis
Avi,https://www.avimedical.com/avi-impact,No description available,Medical services,Europe,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:55:42,Bavaria,Berlin,"Berlin, Bavaria, Germany",combined_analysis,Avi (Product details not available),,,Europe,url_analysis
Biotx,https://www.biotx.ai,No description available,Biotechnology solutions,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:44,,,Germany,combined_analysis,zqIwjAi,,,Europe,url_analysis
Brainjo,https://www.brainjo.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:45,,,Germany,url_analysis,Brainjo (Product details not available),Regensburg,Bavaria,Germany,content_analysis
Careanimations,https://www.careanimations.de,"Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel.","Wir erleichtern die Patientenberatung in Apotheken mit einfachen, zugänglichen Videos, Piktogrammen und Nachrichten. So unterstützen Sie Patienten bei der richtigen Anwendung ihrer Arzneimittel. | Careanimations | about"":,""primaryImageOfPage"":,""image"":{""@id"":""https://car | our products and we strive to reach them all.",Germany,AI/ML Healthcare,Active,200,Discovered,Meta tags,Animierte Informationsvideos | Careanimations,2025-07-21 12:55:48,,,Germany,url_analysis,"Animierte Informationsvideos | Careanimations, Patienteninformation leicht gemacht, Wir bauen etwas Großes auf",,,Germany,url_analysis
Climedo,https://www.climedo.de,No description available,Medical services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:50,,,Germany,url_analysis,"biTAi, Hy DAI",,,Germany,url_analysis
Cliniserve,https://www.cliniserve.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:52,,,Germany,url_analysis,"7htZAi, b4l BApP, htZAi",,,Germany,url_analysis
Comuny,https://www.comuny.de,No description available,Healthcare products and services,Germany,Healthcare Services,Active,200,Discovered,URL domain,,2025-07-21 12:55:53,,,Germany,url_analysis,Comuny (Product details not available),,,Germany,url_analysis
Deepmentation,https://www.deepmentation.ai,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:57,,,Germany,url_analysis,Deepmentation (Product details not available),,,Europe,url_analysis
Derma2go,https://www.derma2go.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:55:59,,,Germany,url_analysis,Derma2go (Product details not available),,,Europe,url_analysis
Dianovi,https://www.dianovi.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:01,Berlin,Berlin,"Berlin, Berlin, Germany",combined_analysis,"4oyXai, WˤGIai, aLaI",,,Europe,url_analysis
Dpv-analytics,https://www.dpv-analytics.com,No description available,AI/Healthcare analytics,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:02,Hamburg,Hamburg,"Hamburg, Hamburg, Germany",combined_analysis,"zn Ai, jނKj_4aI",,,Europe,url_analysis
Emmora,https://www.emmora.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:05,,,Germany,url_analysis,XheaI,,,Germany,url_analysis
Empident,https://www.empident.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:07,,,Germany,url_analysis,Empident (Product details not available),,,Germany,url_analysis
Fitwhit,https://www.fitwhit.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:09,,,Germany,url_analysis,M 9AI,,,Germany,url_analysis
Floy,https://www.floy.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:10,,Munich,"Munich, Germany",combined_analysis,Floy (Product details not available),,,Europe,url_analysis
Gesund,https://www.gesund.de/app,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Manual,URL domain,,2025-07-21 12:56:12,,,Germany,url_analysis,cz_Ai,,,Germany,url_analysis
Glaice,https://www.glaice.de,No description available,AI/Healthcare analytics,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:14,,,Germany,url_analysis,Glaice (Product details not available),,,Germany,url_analysis
Guide,https://www.guidecare.de,No description available,Healthcare products and services,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:15,,,Germany,url_analysis,Hkpai,,,Germany,url_analysis
Healthmeapp,https://www.healthmeapp.de/de,No description available,Healthcare solutions,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:17,,,Germany,url_analysis,Healthmeapp (Product details not available),,,Germany,url_analysis
Help-app,https://www.help-app.de,No description available,Digital health platform,Germany,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:19,,,Germany,url_analysis,Help-app (Product details not available),,,Germany,url_analysis
Heynanny,https://www.heynanny.com,No description available,Healthcare products and services,Europe,AI/ML Healthcare,Active,200,Discovered,URL domain,,2025-07-21 12:56:20,,Essen,"Essen, Germany",combined_analysis,f25xKAI,,,Europe,url_analysis
