name,website,description,location,country,city,category,subcategory,industry_tags,business_model,target_market,founded_year,employees,funding_amount,funding_stage,revenue,valuation,investor_list,ceo,founders,key_executives,email,phone,linkedin,twitter,crunchbase,products,technology_stack,patents,certifications,partnerships,customers,competitors,awards,press_mentions,market_size,growth_rate,market_share,regulatory_status,data_quality_score,completeness_score,confidence_score,last_updated,last_verified,source,validation_status
Cara,https://www.cara.care/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:50.605133,2025-07-14T13:54:19.046952,https://www.cara.care/,needs_review
Mika,https://www.mika.health/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:51.498860,2025-07-14T13:54:19.046954,https://www.mika.health/,needs_review
Oviva,https://www.oviva.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:53.307553,2025-07-14T13:54:19.046956,https://www.oviva.com/,needs_review
Mediteo,https://www.mediteo.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:56.650918,2025-07-14T13:54:19.046958,https://www.mediteo.com/,needs_review
Thryve,https://www.thryve.health/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:58.666847,2025-07-14T13:54:19.046959,https://www.thryve.health/,needs_review
Freeletics,https://www.freeletics.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:51:59.817346,2025-07-14T13:54:19.046962,https://www.freeletics.com/,needs_review
Seven,https://www.seven.app/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:00.985559,2025-07-14T13:54:19.046964,https://www.seven.app/,needs_review
Nect,https://www.nect.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:02.587843,2025-07-14T13:54:19.046966,https://www.nect.com/,needs_review
Nuveon,https://www.nuveon.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,"AI, Web",,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:52:03.570583,2025-07-14T13:54:19.046968,https://www.nuveon.de/,needs_review
Heartbeat Labs,https://www.heartbeat-labs.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:04.393631,2025-07-14T13:54:19.046970,https://www.heartbeat-labs.com/,needs_review
Deepc,https://www.deepc.ai/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:05.221827,2025-07-14T13:54:19.046972,https://www.deepc.ai/,needs_review
Feedbackmedical,https://www.feedbackmedical.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:06.151763,2025-07-14T13:54:19.046974,https://www.feedbackmedical.com/,needs_review
Medicalvalues,https://www.medicalvalues.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:09.833743,2025-07-14T13:54:19.046976,https://www.medicalvalues.com/,needs_review
Getdoctorly,https://www.getdoctorly.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:10.650171,2025-07-14T13:54:19.046978,https://www.getdoctorly.com/,needs_review
Biontech,https://www.biontech.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,"AI, Cloud",,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:52:12.670000,2025-07-14T13:54:19.046980,https://www.biontech.de/,needs_review
Curevac,https://www.curevac.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:13.863881,2025-07-14T13:54:19.046982,https://www.curevac.com/,needs_review
Medigene,https://www.medigene.de/,,,Germany,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:52:15.287174,2025-07-14T13:54:19.046984,https://www.medigene.de/,needs_review
Evotec,https://www.evotec.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:16.806660,2025-07-14T13:54:19.046985,https://www.evotec.com/,needs_review
Morphosys,https://www.morphosys.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:17.676202,2025-07-14T13:54:19.046987,https://www.morphosys.com/,needs_review
4Sc,https://www.4sc.de/,,,Germany,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:52:19.906558,2025-07-14T13:54:19.046989,https://www.4sc.de/,needs_review
Mologen,https://www.mologen.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:21.031507,2025-07-14T13:54:19.046991,https://www.mologen.com/,needs_review
Heidelberg Pharma,https://www.heidelberg-pharma.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:25.142073,2025-07-14T13:54:19.046993,https://www.heidelberg-pharma.com/,needs_review
Medwing,https://www.medwing.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:52:27.933861,2025-07-14T13:54:19.046995,https://www.medwing.com/,needs_review
Caresquare,https://www.caresquare.de/,,,Germany,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:52:59.634222,2025-07-14T13:54:19.046997,https://www.caresquare.de/,needs_review
Pflegebox,https://www.pflegebox.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:53:01.003786,2025-07-14T13:54:19.046999,https://www.pflegebox.de/,needs_review
Medikamente Per Klick,https://www.medikamente-per-klick.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:53:01.997448,2025-07-14T13:54:19.047001,https://www.medikamente-per-klick.de/,needs_review
Shop Apotheke,https://www.shop-apotheke.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:03.349219,2025-07-14T13:54:19.047003,https://www.shop-apotheke.com/,needs_review
Mycare,https://www.mycare.de/,,,Germany,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,50.0,23.076923076923077,70.0,2025-07-14T13:53:04.911663,2025-07-14T13:54:19.047005,https://www.mycare.de/,needs_review
Babylonhealth,https://www.babylonhealth.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:05.646743,2025-07-14T13:54:19.047007,https://www.babylonhealth.com/,needs_review
Lloydspharmacy,https://www.lloydspharmacy.com/,,,,,Healthcare IT,,AI,,,,,,Ipo,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:09.050752,2025-07-14T13:54:19.047010,https://www.lloydspharmacy.com/,needs_review
Healthhero,https://www.healthhero.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:09.903973,2025-07-14T13:54:19.047012,https://www.healthhero.com/,needs_review
Livi,https://www.livi.co.uk/,,,UK,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:11.415470,2025-07-14T13:54:19.047014,https://www.livi.co.uk/,needs_review
Healx,https://www.healx.io/,,,,,Healthcare IT,,"AI, B2B",,,,,,,,,,,,,,,,https://twitter.com/JZG,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:20.604635,2025-07-14T13:54:19.047016,https://www.healx.io/,needs_review
sensyne.com for sale,https://www.sensyne.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:21.220693,2025-07-14T13:54:19.047018,https://www.sensyne.com/,needs_review
Benevolent,https://www.benevolent.ai/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:22.480415,2025-07-14T13:54:19.047020,https://www.benevolent.ai/,needs_review
Ultromics,https://www.ultromics.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:23.262682,2025-07-14T13:54:19.047022,https://www.ultromics.com/,needs_review
Speech Graphics,https://www.speech-graphics.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:23.866273,2025-07-14T13:54:19.047025,https://www.speech-graphics.com/,needs_review
Mind Trace,https://www.mind-trace.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:24.829169,2025-07-14T13:54:19.047027,https://www.mind-trace.com/,needs_review
Cydar,https://www.cydar.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:27.361445,2025-07-14T13:54:19.047029,https://www.cydar.com/,needs_review
Mindmaze,https://www.mindmaze.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:30.566226,2025-07-14T13:54:19.047030,https://www.mindmaze.com/,needs_review
Congenica,https://www.congenica.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,FDA,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:31.433917,2025-07-14T13:54:19.047032,https://www.congenica.com/,needs_review
Zoe,https://www.zoe.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:32.200812,2025-07-14T13:54:19.047034,https://www.zoe.com/,needs_review
Headspace,https://www.headspace.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,"AI, Cloud",,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:32.874634,2025-07-14T13:54:19.047036,https://www.headspace.com/,needs_review
Unmind,https://www.unmind.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:33.742973,2025-07-14T13:54:19.047038,https://www.unmind.com/,needs_review
Silvercloud,https://www.silvercloud.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:34.665023,2025-07-14T13:54:19.047040,https://www.silvercloud.com/,needs_review
Thehub,https://www.thehub.life/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:35.403716,2025-07-14T13:54:19.047041,https://www.thehub.life/,needs_review
Sprout,https://www.sprout.co.uk/,,,UK,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:36.289145,2025-07-14T13:54:19.047043,https://www.sprout.co.uk/,needs_review
Mynurva,https://www.mynurva.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:40.061909,2025-07-14T13:54:19.047045,https://www.mynurva.com/,needs_review
Vitality,https://www.vitality.co.uk/,,,UK,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:41.448361,2025-07-14T13:54:19.047047,https://www.vitality.co.uk/,needs_review
Oxitec,https://www.oxitec.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:53:42.050203,2025-07-14T13:54:19.047049,https://www.oxitec.com/,needs_review
Circassia,https://www.circassia.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:54:13.685670,2025-07-14T13:54:19.047051,https://www.circassia.com/,needs_review
Nexeon,https://www.nexeon.co.uk/,,,UK,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:54:14.879324,2025-07-14T13:54:19.047053,https://www.nexeon.co.uk/,needs_review
Veritas,https://www.veritas.com/,,,,,Healthcare IT,,,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:54:15.535139,2025-07-14T13:54:19.047055,https://www.veritas.com/,needs_review
Bioxcel,https://www.bioxcel.com/,,ed a significant unmet need among patients and caregivers.,Germany,,Medical Devices,,"AI, Cloud, Mobile, B2C",Marketplace,Patients,2022,,,Ipo,,,"sound investment, Driven Partners, corporate fund",,and COO of BioXcel,"BOARD OF DIRE, Managing Dire, Managing Dire, querySele, querySele",careers@bioxcel.com,,https://linkedin.com/company/bioxcel-corporation,,,"that fulfil unmet requirements across major therapeutic areas, We are driven by scientific curiosity and passion for technology and embrace innovative, enabled, and its, global leader in","AI, Cloud, Mobile, Analytics, API",,"ISO, FDA, MEDICAL DEVICE","to Repurpose Compounds for Rare Diseases, Driven, BioXcel","Rect, bases, relationship management",,,"Fierce Biotech The recent uptick in interest in drug repurposing, the popularity of which ebbs and flows, could give the team a tailwind",",",,,FDA Approved,68.75,61.53846153846154,95.0,2025-07-14T13:54:17.160788,2025-07-14T13:54:19.047067,https://www.bioxcel.com/,validated
Immunocore,https://www.immunocore.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:54:17.990513,2025-07-14T13:54:19.047070,https://www.immunocore.com/,needs_review
Adaptimmune,https://www.adaptimmune.com/,,,,,Healthcare IT,,AI,,,,,,,,,,,,,,,,,,,AI,,,,,,,,,,,,37.5,15.384615384615385,70.0,2025-07-14T13:54:18.546034,2025-07-14T13:54:19.047071,https://www.adaptimmune.com/,needs_review
