name,website,description,location,category,subcategory,founded_year,employees,funding,products,email,phone,linkedin,twitter,address,ceo,revenue,technologies,target_market,certifications,partners,awards,data_quality_score,extraction_date,source
Booking Health 🏥 Hospital and the best health care booking service in the world,https://www.bookinghealth.com,Treating abroad ⭐ Find quality health care with BookingHealth ⭐ Find the best treatment options around the world for health care for yourself ⭐ Saving up to 60% of the cost of treatment,Berlin,Telemedicine,Software Solutions,,,,"productive-medicine/female-infertility-in-vitro-fertilization-ivf"">In-vitro-Fertilization
      (IVF",,+0000-00,,,,,,"AI, ML, Java",patients,"ISO, CE, certification",aq,The certification may be awarded to highly specialized centers for the treatment of cancer of a spec,6.5,2025-07-13,Direct URL
Caresyntax,https://www.caresyntax.com,"Deliver seamless integration, surgical workflow, and data analytics to drive actionable insights to optimize every aspect of surgery with Caresyntax.",Berlin,Electronic Health Records,Software Solutions,,,,"products: leverage the Caresyntax tech and services platform to collect, organize, and generate insi",,145 123 145,https://www.linkedin.com/company/caresyntax,https://twitter.com/caresyntax,,,,"AI, ML, Java, AWS",enterprise,"ISO, HIPAA, GDPR",ow,,6.5,2025-07-13,Direct URL
coming,https://www.corpuls.com,Healthcare technology company,Geneva,Telemedicine,Software Solutions,,,,Product .,wolf-creek-us-ip-coming-soon-header-fd305796-4d7f91e3-mh1098@2560w.webp,,https://www.linkedin.com/company/gs-corpuls/about/,,"1""/><meta name=""referrer"" content=""strict-origin-when-cross-origin""/><meta name=""Generator"" content=""Weblication® CMS""/><!--[if IE]><meta http-equiv=""x-ua-compatible"" content=""IE=edge"" /><![endif]--><meta name=""format-detection"" content=""telephone=no""/><meta name=""facebook-domain-verification"" content=""lcmb8je1ee0ru3i5g96v9p1n89yumt""/><meta name=""geo.region"" content=""DE-BY""/><meta name=""geo.placename"" content=""Hauswiesenstraße 26, 86916 Kaufering",,,"AI, ML, Java",,"ISO, CE",,"navid=866231866231"">Training &amp; Courses</a><span class=""navpointToggler""></span><ul data-navlevel",6.5,2025-07-13,Direct URL
Ehealth Tec,https://www.ehealth-tec.de,"DocMorris's vision is to create a world for everyone to manage their health in one click. We’re making this possible by connecting patients and customers with doctors, pharmacies and health insurers on a single platform.",Netherlands,Pharmaceuticals,Software Solutions,,,,solutions.,,100 200 300,https://www.linkedin.com/company/docmorris,,,,,"AI, ML",B2B,CE,,,6.5,2025-07-13,Direct URL
A Digital Therapeutics Company for Diabetes Management,https://www.hedia.co,Our company vision is to improve quality of life for people with diabetes and make the best diabetes management tools available.,Copenhagen,Digital Therapeutics,Software Solutions,,,,product is available on the market.,hello@hedia.com,,https://www.linkedin.com/company/hedia/,https://twitter.com/hediabetes/,,to expand,,"AI, ML, Java",B2B,"CE, certification",ww,,6.5,2025-07-13,Direct URL
Die effizienteste und komfortabelste Art der Patientenaufnahme,https://www.idana.com,Mit Idana befragen Sie Patient:innen vorab digital. Entlasten Sie Ihr Team und begeistern Sie Ihre Patient:innen.,Europe,Electronic Health Records,Software Solutions,,,,"product-gallery__image""),r=0,a=i.",Gruppe-1041@3x-1024x700.png,+49 761 600 6784 1,https://www.linkedin.com/company/10965711,https://twitter.com/IdanaTomes1,,,,"AI, ML, Java",enterprise,"ISO, CE",na,,6.5,2025-07-13,Direct URL
Noom: Lose weight and keep it off.,https://www.noom.com,"Award-winning, psychology based weight loss and high-quality GLP-1 meds all in one place. Sign up for Noom today.",Europe,Health Analytics,Software Solutions,,,,"production div:before {background-color:#00D263!important;}
</style>
<link data-minify=""1"" rel='styl",home-hrt-banner-with-circle@2x-scaled-1.webp,496 512 828,https://www.linkedin.com/company/noom-inc/',https://twitter.com/noom',,,,"AI, ML, Java",B2B,"ISO, HIPAA, FDA",,"description"" content=""Award-winning, psychology based weight loss and high-quality GLP-1 meds all in",6.5,2025-07-13,Direct URL
Novartis,https://www.novartis.com,"Working together, we can reimagine medicine to improve and extend people’s lives.",Germany,Mental Health,Software Solutions,,,,"Products"" href=""/about/products"" >
    <i class=""borderH""></i>
      Products&nbsp;

          </a>
",,434-1032-411,https://www.linkedin.com/company/novartis,https://www.twitter.com/novartis,,,,"AI, ML, Java",B2C,CE,nu,"Hale&nbsp;

          </a>
    
</li>
<li  class=""we-mega-menu-li"" data-level=""2"" data-element-type=",6.5,2025-07-13,Auto-discovered
R&amp;D,https://www.sanofi.com,"Sanofi is a research &amp; development-driven, AI-powered healthcare biopharma company committed to improving lives through innovative medicines &amp; vaccines.",Germany,Pharmaceuticals,Software Solutions,,000,,"platforms"" target=""_self"" data-discover=""true"">Technology Platforms </a></li><li tabindex=""1"" class=",,144-144-144,https://www.linkedin.com/company/sanofi,https://twitter.com/sanofi,,,,"AI, ML, React",consumer,"ISO, CE",th,,6.5,2025-07-13,Auto-discovered
AI-Medics,https://www.ai-medics.com,"Sign up for our email list for updates, promotions, and more.","2012, 2014 Adobe",Digital Health,General,2017,,,solution: 192dpi){.,,+0400-045,,,,,,"AI, ML",,CE,,,6.0,2025-07-13,Direct URL
Dedalus #Ways: Delivering Value in Healthcare,https://www.dedalus.com,"Dedalus: A leader in healthcare software, offering #Ways for seamless care and value across the healthcare ecosystem with innovative solutions.",Paris,Electronic Health Records,Software Solutions,2024,,,product-information-section-swiper-container .,,,https://www.linkedin.com/company/dedalus-group/,,,,,"AI, ML, Java",enterprise,CE,ww,,6.0,2025-07-13,Direct URL
Orthotics and Prosthetics Medical Software,https://www.medflex.com,"Find O&amp;P medical practice management solutions at Medflex, a leading software company specializing durable medical equipment including electronic medical record, reporting, and analytics.",Europe,Electronic Health Records,Software Solutions,2023,,,"Productivity</h4><div data-ux=""ContentText"" alignment=""center"" data-aid=""ABOUT_DESCRIPTION_RENDERED1",,+0460-052,,,,,,"AI, ML, React",patients,CE,,,6.0,2025-07-13,Direct URL
Covimo,https://www.covimo.de,Things I&#39;m working on and interested in,Berlin,Digital Health,General,,,,"application/rss+xml"" title=""RSS"" href=""/index.",patrick.hausmann@covimo.de,,,,,,,"AI, ML, Java",,CE,,,5.5,2025-07-13,Direct URL
DrFirst,https://www.drfirst.com,Streamline your healthcare workflow with DrFirst. Optimize your healthcare operations with DrFirst,Europe,Telemedicine,Software Solutions,,,,"Products</a>
   <ul role=""menu"" class=""hs-menu-children-wrapper"">
    <li class=""hs-menu-item hs-men",,208 208 208,https://www.linkedin.com/company/drfirst,,,and Chief,,"AI, ML, Java",patients,"ISO, CE, certification",st,"com/healthiverse-heroes-award"" role=""menuitem"">Healthiverse® Heroes Award</a></li>
    <li class=""hs",5.5,2025-07-13,Direct URL
Better is possible for innovation,https://www.innosabi.com,"Machine learning and AI are integral components of our products. Benefit from accelerated AI enabled searches and insight, AI assisted suggestions, submissions and processes. All embedded within the innosabi innovation management platform.",Europe,Pharmaceuticals,Software Solutions,,,,products and services and the lives of employees and consumers.,,375-0131-5020,https://www.linkedin.com/company/innosabi-gmbh/,,,,,"AI, ML, Java, AWS",B2C,"FDA, CE",es,"Ai</a> has been awarded a new contract with <a href=""https://www",5.5,2025-07-13,Direct URL
IsarMed &#8211; Praxis für PRM &#8211; Magnus Ott,https://www.isarmed.de,Chirotherapie &#8211; Manuelle Medizin &#8211; Osteopathie &#8211; Ultraschall &#8211; Psychosomatische Grundversorgung &#8211; Schmerztherapie &#8211; Begutachtungen,Europe,Digital Health,General,,,,solution:192dpi){:root{--wp-admin-border-width-focus:1.,info@isarmed.de,+604800,,,,,,"AI, ML, Java",,CE,,,5.5,2025-07-13,Direct URL
jameda,https://www.jameda.de,"Termine online od. telefonisch buchen ✓ Arztsuche nach Fachärzten, Spezialisten, Kliniken uvm. ✓ Über 2 Mio. geprüfte Patienten-Feedbacks ✓",Berlin,Electronic Health Records,Software Solutions,,,,platform.,,,,,,,,"AI, ML, Java, AWS",enterprise,"ISO, GDPR, CE",se,,5.5,2025-07-13,Direct URL
Patient Innovation,https://www.patient-innovation.com,"Patient Innovation is a nonprofit, international, multilingual, free venue for patients and caregivers of any disease to share their innovations.",Copenhagen,Medical Devices,Software Solutions,,,,product: http://ogp.,,,https://www.linkedin.com/company/patientinnovation/,http://www.twitter.com/PatientInnov,,,,"AI, ML, Java",patients,"ISO, CE",ww,"-- MENU -->
                                                           <ul class=""menu""><li class=""f",5.5,2025-07-13,Direct URL
Doing now what patients need next,https://www.roche.com,"As a pioneer in healthcare, we have been committed to improving lives since the company was founded in 1896 in Basel, Switzerland. Today, Roche creates innovative medicines and diagnostic tests that help millions of patients globally.",Switzerland,Pharmaceuticals,Software Solutions,,,,products which is targeted to a wide range of audiences and could contain product details or informa,,,https://www.linkedin.com/company/roche?trk=hb_tab_compy_id_1602,https://twitter.com/roche,,Thomas Schinecker,,"AI, ML, React, Java, AWS",B2B,"FDA, CE",ww,,5.5,2025-07-13,Auto-discovered
Abbott,https://www.abbott.com,"Innovative medical devices and health care solutions for cardiovascular health, diabetes management, diagnostic testing, nutrition, chronic pain and more.",Madrid,Health Analytics,Software Solutions,,3,,"products d-none"">
				
			</div>
		</div>
		

</div>





    


</div>
</li>
<li class=""m-mega-menu",,,https://www.linkedin.com/company/abbott-/,https://www.twitter.com/abbottnews,,,,"AI, ML, Java",B2C,"FDA, CE",rs,"html"" target=""_self"">PRESS CONTACTS</a>
			</li>
		
			
			<li class=""a-link"">
				<a class=""a-link_",5.5,2025-07-13,Auto-discovered
findhelp.org by findhelp,https://www.findhelp.com,"Search and connect to support. Find financial assistance, food pantries, medical care, and other free or reduced-cost help in your area, anywhere in the US.",UK,Digital Health,General,,,,service navigator.,,,,,,,,"AI, ML, React, Java",enterprise,"FDA, CE",ns,,4.5,2025-07-13,Direct URL
iMedikament.de,https://www.imedikament.de,Healthcare technology company,Europe,Electronic Health Records,Software Solutions,,,,"application/javascript"">
        window.",,,,,,,,"AI, ML, Java",,CE,er,,4.5,2025-07-13,Direct URL
Varian Medical Systems,https://www.varian.com,Imagine a world without fear of cancer. We do. This vision drives everything we do. It inspires our mission: to combine the ingenuity of people with the power of data and technology to achieve new victories against cancer.,Europe,AI/ML Healthcare,AI/ML Solutions,,73,,"products/radiotherapy/treatment-planning/rapidarc-dynamic"",
          ""postCountdownLinkText"": ""Lear",,,,,,,,"AI, ML",patients,"FDA, CE",,,4.5,2025-07-13,Direct URL
Philips healthcare: Innovative medical solutions,https://www.philips.com/healthcare,"Improving people&#x27;s health and well-being through meaningful innovation in hospital patient monitoring, diagnostic imaging, and enterprise informatics.",Europe,Telemedicine,Software Solutions,,,,"products_&amp;_services"" href="""" tabindex=""0"" data-react-aria-pressable=""true"" class=""f9fv1o3 e8oad4",,,https://www.linkedin.com/company/philips/,https://twitter.com/PhilipsHealth,,,,"AI, ML, React",enterprise,"ISO, CE",eb,,4.5,2025-07-13,Auto-discovered
Siemens Healthineers,https://www.siemens-healthineers.com,We pioneer breakthroughs in healthcare. For everyone. Everywhere. Sustainably. Discover more about our innovative medtech and the people behind it.,Europe,Medical Imaging,Software Solutions,,3,,"products-services"" target=""_blank""><span class=""meta-menu__link""><i class=""corporate-icon-avatar""></",,,https://www.linkedin.com/company/siemens-healthineers,,,,,"AI, ML, React, Java",B2B,"ISO, CE",ww,,4.5,2025-07-13,Auto-discovered
Incorrect Browser,https://www.medtronic.com,Healthcare technology company,Europe,Digital Health,General,,,,,DLAEMSUPPORTHELP@medtronic.onmicrosoft.com,,,,,,,"AI, ML",,CE,,,4.5,2025-07-13,Auto-discovered
Acalta,https://www.acalta.de,"Unser Digital Health Startup entwickelt digitale Anwendungen für die Gesundheitsversorgung. Damit setzen wir neue Maßstäbe und sorgen dafür, dass sich sowohl Ärzte als auch Patienten auf das Wesentliche fokussieren können: Qualität und ausreichend zeitliche Ressourcen für den Behandlungsablauf.",Europe,Digital Health,General,,,,"platform"" class=""nav-link top w-nav-link"">Gesundheitsdienstleister</a><a href=""/gesundheitsdienstlei",,,https://www.linkedin.com/company/acalta-gmbh,https://twitter.com/AcaltaGmbh,,,,"AI, ML, Java",B2B,CE,dn,,3.5,2025-07-13,Direct URL
Amplifire,https://www.amplifire.ai,Healthcare technology company,Europe,Digital Health,General,,,,,,,,,,,,ML,,,,,3.5,2025-07-13,Direct URL
Beurer Connect,https://www.beurer-connect.com,Healthcare technology company,Europe,Digital Health,General,,,,,,,,,,,,ML,,,,,3.5,2025-07-13,Direct URL
Cankado,https://www.cankado.com,"Analyzing and tracking symptoms with Cankado Digital Health means improved patient safety, improved quality of life for oncology treatment care.",Europe,Digital Health,General,,,,app.,,,,,,,,"AI, ML, Java",,CE,,,3.5,2025-07-13,Direct URL
Clue&reg; Computing Home Page,https://www.clue.com,"Welcome to Clue&reg; Computing. Clue&reg; offers a wide array of
consulting services for businesses needing dependable, high quality
work done at a reasonable price.",Europe,Digital Health,General,,,,"services for businesses needing dependable, high quality
work done at a reasonable price.",,,,,,,,"AI, ML",,"ISO, CE",,,3.5,2025-07-13,Direct URL
tinnitushelp.com&nbsp;,https://www.tinnitushelp.com,"This website is for sale! tinnitushelp.com is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, tinnitushelp.com has it all. We hope you find what you are searching for!",Europe,Digital Health,General,,,,services/parking.,,,,,,,,"AI, ML, Java, AWS",B2C,CE,lp,,3.5,2025-07-13,Direct URL
