name,website,description,location,category,email,phone,extraction_date
Dopavision,http://dopavision.com/,"At Dopavision, we believe everyone deserves to see the world clearly through healthy eyes. Learn about our mission to develop an innovative and widely accessible myopia intervention today.",Europe,Health Apps,,,2025-07-12
Dpv Analytics,https://www.dpv-analytics.com/,European healthcare technology company,"Hamburg, Europe",Health Apps,service@dpv-analytics.com,+49 40 3503131,2025-07-12
App auf Rezept bei Rückenschmerzen,http://www.ecovery.de/,"Gehen Sie Schmerzen im unteren Rücken mit eCovery flexibel an. Dann, wann es Ihnen passt. Jetzt als App auf Rezept verschreiben lassen. Kostenfrei.","Hamburg, Europe",Health Apps,support@ecovery.de,+4934198978031,2025-07-12
Elixionmedical,https://elixionmedical.com/,Transform patient monitoring with Elixion,"Munich, Europe",Health Apps,SmartCatheter@elixionmedical.com,,2025-07-12
Digitale Zahnarztpraxis,https://www.empident.de/,"Your Practice: Digitally Connected With EMPIDENT, you add a digital layer to your dental practice –for more new patients, easier therapy support, and stronger patient loyalty. Book your demo now Attract more new patients – digitally and predictably Improve patient care during treatment Boost efficie",Germany,Health Apps,info@empident.de,+604800,2025-07-12
Health AI,https://eye2you.ai/,brining closer AI for healthcare Embrace the future of healthcare: AI revolutionizing medicine for a healthier society. Stay informed with the latest innovations and share the wisdom of tomorrow&#8217;s medical&hellip;,Europe,Health Apps,logo-pink@2x.png,+604800,2025-07-12
Fitwhit,https://www.fitwhit.de,"Fit with Hit 
Eine akustische Implantationshilfe für die Implantation von Endoprothesen.","Rome, Europe",Health Apps,risi.Hofmann@gmail.com,+49 16097912942,2025-07-12
Floy,https://www.floy.com/,European healthcare technology company,"Munich, Europe",Health Apps,finance@floy.com,+0000,2025-07-12
fyzo Assistant,https://fyzo.de/assistant/,"Innovative Therapie.





Du hast eine eigene Praxis und möchtest herausfinden wie fyzo dir helfen kann, deine Therapeut:innen zu entlasten?



Jetzt Testtermin buchen





Zeit für Patient:innen

Wir bei fyzo sind davon überzeugt, dass eine gute Behandlung Zeit braucht. Nur wer Zeit hat, kann seine",Germany,Health Apps,,,2025-07-12
Die gesund.de App,https://www.gesund.de/app,Mit gesund.de App: Digital verbunden mit deiner Apotheke in der Nähe ✔ Rezepte einreichen ✔ Medikamenteneinnahme planen ✔ Medikamente bestellen ✔ ,"Rome, Europe",Health Apps,,,2025-07-12
GLAICE Health,https://www.glaice.de/,European healthcare technology company,"Berlin, Europe",Health Apps,,+0000,2025-07-12
EINFACH RETTEN von Gleea,https://gleea.de/,"Die EINFACH RETTEN App von Gleea - Lernapp für Notfallsanitäter. Das Rettungsdienst Simulationszentrum in deiner Hosentasche erlaubt es dir, realistisch Fallbeispiele immer und überall zu üben.",Germany,Health Apps,,+49 8232 5054725,2025-07-12
Kostenlose Beratung zur Verhinderungspflege in Ihrer Nähe,https://www.guidecare.de/,European healthcare technology company,"Hamburg, Europe",Health Apps,,+0000,2025-07-12
apodienste,https://www.apodienste.com/,"apodienste ermöglicht digitale Prozesse für Apotheken, insbesondere für pharmazeutische Dienstleistungen.","Berlin, Europe",Health Apps,info@apodienste.de,+379,2025-07-12
HELP Mee Schmerztherapie GmbH,https://www.help-app.de/,European healthcare technology company,"Hamburg, Europe",Health Apps,,+604800,2025-07-12
heycare (former heynanny),https://www.heynanny.com/,European healthcare technology company,Europe,Health Apps,team@heycare.com,+0000,2025-07-12
inContAlert &#8211; Regain Control Again.,https://incontalert.de/,European healthcare technology company,"Hamburg, Europe",Health Apps,,+604800,2025-07-12
InformMe,https://home.informme.info/,European healthcare technology company,Europe,Health Apps,kontakt@informme.info,+0000,2025-07-12
Die Therapie bei häufigem Harndrang &mdash; Kranus Health,https://www.kranushealth.com/de/therapien/haeufiger-harndrang,"Diese Therapie zielt darauf ab, den häufigen Harndrang effektiv zu 
reduzieren und eine spürbare Linderung der Symptome zu erreichen, 
einschließlich einer Verringerung der Häufigkeit des Wasserlassens sowie 
der Inkontinenz-Episoden.","Berlin, Europe",Health Apps,kontakt@kranus.de,+49 89 38037540,2025-07-12
Die Therapie bei häufigem Harndrang &mdash; Kranus Health,https://www.kranushealth.com/de/therapien/inkontinenz,"Diese Therapie zielt darauf ab, den häufigen Harndrang effektiv zu 
reduzieren und eine spürbare Linderung der Symptome zu erreichen, 
einschließlich einer Verringerung der Häufigkeit des Wasserlassens sowie 
der Inkontinenz-Episoden.","Berlin, Europe",Health Apps,kontakt@kranus.de,+49 89 38037540,2025-07-12
